"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"fpop",fpop,exp,,100,10,9.21034037197618,1e-09,10,0.01,3,16031082,1,NA
"dust",dust,exp,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,3,419102,1,4
"fpop",fpop,exp,,100,20,9.21034037197618,1e-09,10,0.01,3,3264338,1,NA
"dust",dust,exp,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,3,1311836,1,7
"fpop",fpop,exp,,100,30,9.21034037197618,1e-09,10,0.01,3,4187617,1,NA
"dust",dust,exp,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,3,1022827,1,6
"fpop",fpop,exp,,100,40,9.21034037197618,1e-09,10,0.01,3,11162455,1,NA
"dust",dust,exp,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,3,497002,1,11
"fpop",fpop,exp,,100,50,9.21034037197618,1e-09,10,0.01,3,2733019,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,3,532713,1,7
"fpop",fpop,exp,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,3,3217475,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,3,585644,1,9
"fpop",fpop,exp,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,3,4155063,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,20,10.8197782844103,1e-09,10,0.01,3,475559,1,5
"fpop",fpop,exp,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,3,3064709,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,3,1160997,1,7
"fpop",fpop,exp,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,3,7999838,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,3,1396706,1,7
"fpop",fpop,exp,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,3,8069087,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,3,445711,1,10
"fpop",fpop,exp,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,3,6484109,1,NA
"dust",dust,exp,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,3,4264656,1,7
"fpop",fpop,exp,,500,0,12.4292161968444,1e-09,10,0.01,3,23103090,1,NA
"dust",dust,exp,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,3,601675,1,10
"fpop",fpop,exp,,500,10,12.4292161968444,1e-09,10,0.01,3,4607990,1,NA
"dust",dust,exp,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,3,640215,1,9
"fpop",fpop,exp,,500,20,12.4292161968444,1e-09,10,0.01,3,4050390,1,NA
"dust",dust,exp,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,3,685233,1,10
"fpop",fpop,exp,,500,30,12.4292161968444,1e-09,10,0.01,3,8223698,1,NA
"dust",dust,exp,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,3,2321133,1,8
"fpop",fpop,exp,,500,40,12.4292161968444,1e-09,10,0.01,3,15499845,1,NA
"dust",dust,exp,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,3,735458,1,9
"fpop",fpop,exp,,500,50,12.4292161968444,1e-09,10,0.01,3,3638258,1,NA
"dust",dust,exp,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,4,938777,1,10
"fpop",fpop,exp,,100,0,9.21034037197618,1e-09,10,0.01,4,4314799,1,NA
"dust",dust,exp,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,4,1368252,1,6
"fpop",fpop,exp,,100,10,9.21034037197618,1e-09,10,0.01,4,11594472,1,NA
"dust",dust,exp,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,4,458913,1,5
"fpop",fpop,exp,,100,20,9.21034037197618,1e-09,10,0.01,4,2692224,1,NA
"dust",dust,exp,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,4,1217577,1,5
"fpop",fpop,exp,,100,30,9.21034037197618,1e-09,10,0.01,4,10962047,1,NA
"dust",dust,exp,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,4,494583,1,9
"fpop",fpop,exp,,100,40,9.21034037197618,1e-09,10,0.01,4,10819572,1,NA
"dust",dust,exp,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,4,600732,2,8
"fpop",fpop,exp,,100,50,9.21034037197618,1e-09,10,0.01,4,10568939,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,4,1341192,1,8
"fpop",fpop,exp,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,4,3011327,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,4,608112,1,7
"fpop",fpop,exp,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,4,12725703,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,20,10.8197782844103,1e-09,10,0.01,4,440709,1,4
"fpop",fpop,exp,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,4,3016411,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,4,577567,1,6
"fpop",fpop,exp,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,4,3694674,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,4,579740,1,12
"fpop",fpop,exp,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,4,3596069,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,4,3368150,1,11
"fpop",fpop,exp,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,4,3191973,1,NA
"dust",dust,exp,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,4,2891197,1,6
"fpop",fpop,exp,,500,0,12.4292161968444,1e-09,10,0.01,4,22187109,1,NA
"dust",dust,exp,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,4,5501462,1,6
"fpop",fpop,exp,,500,10,12.4292161968444,1e-09,10,0.01,4,4361252,1,NA
"dust",dust,exp,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,4,546858,1,6
"fpop",fpop,exp,,500,20,12.4292161968444,1e-09,10,0.01,4,4066052,1,NA
"dust",dust,exp,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,4,742633,1,10
"fpop",fpop,exp,,500,30,12.4292161968444,1e-09,10,0.01,4,7219772,1,NA
"dust",dust,exp,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,4,656287,1,7
"fpop",fpop,exp,,500,40,12.4292161968444,1e-09,10,0.01,4,18191659,1,NA
"dust",dust,exp,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,4,1804779,1,12
"fpop",fpop,exp,,500,50,12.4292161968444,1e-09,10,0.01,4,7271637,1,NA
"dust",dust,exp,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,5,949068,1,6
"fpop",fpop,exp,,100,0,9.21034037197618,1e-09,10,0.01,5,14788331,1,NA
"dust",dust,exp,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,5,11538425,1,6
"fpop",fpop,exp,,100,10,9.21034037197618,1e-09,10,0.01,5,2669387,1,NA
"dust",dust,exp,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,5,1130001,1,5
"fpop",fpop,exp,,100,20,9.21034037197618,1e-09,10,0.01,5,20626362,1,NA
"dust",dust,exp,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,5,1097570,1,4
"fpop",fpop,exp,,100,30,9.21034037197618,1e-09,10,0.01,5,8265067,1,NA
"dust",dust,exp,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,5,468302,1,5
"fpop",fpop,exp,,100,40,9.21034037197618,1e-09,10,0.01,5,3020429,1,NA
"dust",dust,exp,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,5,634721,1,5
"fpop",fpop,exp,,100,50,9.21034037197618,1e-09,10,0.01,5,3683645,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,5,590113,1,5
"fpop",fpop,exp,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,5,9685512,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,5,484579,1,5
"fpop",fpop,exp,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,5,3067046,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,20,10.8197782844103,1e-09,10,0.01,5,515739,1,6
"fpop",fpop,exp,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,5,12845054,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,5,2302355,1,8
"fpop",fpop,exp,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,5,3364829,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,5,561290,1,6
"fpop",fpop,exp,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,5,2772994,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,5,557969,1,13
"fpop",fpop,exp,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,5,3853631,1,NA
"dust",dust,exp,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,5,714958,1,8
"fpop",fpop,exp,,500,0,12.4292161968444,1e-09,10,0.01,5,10147705,1,NA
"dust",dust,exp,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,5,587735,1,7
"fpop",fpop,exp,,500,10,12.4292161968444,1e-09,10,0.01,5,3954286,1,NA
"dust",dust,exp,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,5,558379,1,4
"fpop",fpop,exp,,500,20,12.4292161968444,1e-09,10,0.01,5,11029574,1,NA
"dust",dust,exp,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,5,10277839,1,8
"fpop",fpop,exp,,500,30,12.4292161968444,1e-09,10,0.01,5,9244639,1,NA
"dust",dust,exp,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,5,1955823,1,7
"fpop",fpop,exp,,500,40,12.4292161968444,1e-09,10,0.01,5,8587532,1,NA
"dust",dust,exp,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,5,628981,1,9
"fpop",fpop,exp,,500,50,12.4292161968444,1e-09,10,0.01,5,3975893,1,NA
"dust",dust,exp,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,6,2941914,1,5
"fpop",fpop,exp,,100,0,9.21034037197618,1e-09,10,0.01,6,3821405,1,NA
"dust",dust,exp,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,6,3533544,1,7
"fpop",fpop,exp,,100,10,9.21034037197618,1e-09,10,0.01,6,2652372,1,NA
"dust",dust,exp,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,6,1028321,1,10
"fpop",fpop,exp,,100,20,9.21034037197618,1e-09,10,0.01,6,2713093,1,NA
"dust",dust,exp,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,6,4102665,1,4
"fpop",fpop,exp,,100,30,9.21034037197618,1e-09,10,0.01,6,15608536,1,NA
"dust",dust,exp,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,6,466088,1,5
"fpop",fpop,exp,,100,40,9.21034037197618,1e-09,10,0.01,6,11686025,1,NA
"dust",dust,exp,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,6,1001466,1,4
"fpop",fpop,exp,,100,50,9.21034037197618,1e-09,10,0.01,6,8728941,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,6,1140087,1,8
"fpop",fpop,exp,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,6,12760471,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,6,549810,1,7
"fpop",fpop,exp,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,6,3789384,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,20,10.8197782844103,1e-09,10,0.01,6,1025533,1,5
"fpop",fpop,exp,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,6,3128095,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,6,525005,1,7
"fpop",fpop,exp,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,6,9819090,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,6,521274,1,6
"fpop",fpop,exp,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,6,3098288,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,6,1504003,1,4
"fpop",fpop,exp,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,6,3070039,1,NA
"dust",dust,exp,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,6,1395066,1,9
"fpop",fpop,exp,,500,0,12.4292161968444,1e-09,10,0.01,6,14884066,1,NA
"dust",dust,exp,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,6,568547,1,6
"fpop",fpop,exp,,500,10,12.4292161968444,1e-09,10,0.01,6,4321400,1,NA
"dust",dust,exp,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,6,706307,1,4
"fpop",fpop,exp,,500,20,12.4292161968444,1e-09,10,0.01,6,3935877,1,NA
"dust",dust,exp,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,6,717295,1,7
"fpop",fpop,exp,,500,30,12.4292161968444,1e-09,10,0.01,6,4323409,1,NA
