"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"fpop",fpop,variance,,100,40,9.21034037197618,1e-09,10,0.01,3,2998740,2,NA
"dust",dust,variance,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,3,739394,2,8
"fpop",fpop,variance,,100,50,9.21034037197618,1e-09,10,0.01,3,2851386,2,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,3,569121,1,9
"fpop",fpop,variance,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,3,22051399,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,3,8695854,1,10
"fpop",fpop,variance,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,3,7443099,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,20,10.8197782844103,1e-09,10,0.01,3,509999,1,14
"fpop",fpop,variance,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,3,3422803,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,3,555017,1,8
"fpop",fpop,variance,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,3,18258407,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,3,479126,2,9
"fpop",fpop,variance,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,3,15679384,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,3,522504,1,6
"fpop",fpop,variance,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,3,3758839,1,NA
"dust",dust,variance,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,3,708029,1,7
"fpop",fpop,variance,,500,0,12.4292161968444,1e-09,10,0.01,3,5913471,1,NA
"dust",dust,variance,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,3,1507693,1,12
"fpop",fpop,variance,,500,10,12.4292161968444,1e-09,10,0.01,3,14195184,1,NA
"dust",dust,variance,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,3,661207,1,5
"fpop",fpop,variance,,500,20,12.4292161968444,1e-09,10,0.01,3,4678756,1,NA
"dust",dust,variance,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,3,1223399,1,13
"fpop",fpop,variance,,500,30,12.4292161968444,1e-09,10,0.01,3,15292631,1,NA
"dust",dust,variance,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,3,1522617,1,8
"fpop",fpop,variance,,500,40,12.4292161968444,1e-09,10,0.01,3,4459283,1,NA
"dust",dust,variance,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,3,7109687,1,11
"fpop",fpop,variance,,500,50,12.4292161968444,1e-09,10,0.01,3,4411395,1,NA
"dust",dust,variance,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,4,1362963,1,4
"fpop",fpop,variance,,100,0,9.21034037197618,1e-09,10,0.01,4,11137363,1,NA
"dust",dust,variance,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,4,512090,1,7
"fpop",fpop,variance,,100,10,9.21034037197618,1e-09,10,0.01,4,12996672,1,NA
"dust",dust,variance,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,4,554238,1,4
"fpop",fpop,variance,,100,20,9.21034037197618,1e-09,10,0.01,4,8497373,1,NA
"dust",dust,variance,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,4,1247261,1,7
"fpop",fpop,variance,,100,30,9.21034037197618,1e-09,10,0.01,4,10449752,1,NA
"dust",dust,variance,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,4,540380,2,10
"fpop",fpop,variance,,100,40,9.21034037197618,1e-09,10,0.01,4,3717757,2,NA
"dust",dust,variance,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,4,482324,1,9
"fpop",fpop,variance,,100,50,9.21034037197618,1e-09,10,0.01,4,3891761,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,4,1488382,1,8
"fpop",fpop,variance,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,4,6832609,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,4,604873,1,11
"fpop",fpop,variance,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,4,7765195,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,20,10.8197782844103,1e-09,10,0.01,4,563586,1,8
"fpop",fpop,variance,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,4,3458022,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,4,449934,1,8
"fpop",fpop,variance,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,4,7243265,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,4,510409,1,6
"fpop",fpop,variance,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,4,25144849,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,4,563422,1,8
"fpop",fpop,variance,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,4,5545414,1,NA
"dust",dust,variance,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,4,640953,1,8
"fpop",fpop,variance,,500,0,12.4292161968444,1e-09,10,0.01,4,15413745,1,NA
"dust",dust,variance,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,4,1442011,1,11
"fpop",fpop,variance,,500,10,12.4292161968444,1e-09,10,0.01,4,8452314,1,NA
"dust",dust,variance,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,4,656861,1,4
"fpop",fpop,variance,,500,20,12.4292161968444,1e-09,10,0.01,4,4327714,1,NA
"dust",dust,variance,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,4,1577762,1,6
"fpop",fpop,variance,,500,30,12.4292161968444,1e-09,10,0.01,4,9587891,1,NA
"dust",dust,variance,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,4,1740532,1,9
"fpop",fpop,variance,,500,40,12.4292161968444,1e-09,10,0.01,4,4557888,1,NA
"dust",dust,variance,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,4,1805640,1,18
"fpop",fpop,variance,,500,50,12.4292161968444,1e-09,10,0.01,4,6516458,1,NA
"dust",dust,variance,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,5,1064360,1,9
"fpop",fpop,variance,,100,0,9.21034037197618,1e-09,10,0.01,5,4572935,1,NA
"dust",dust,variance,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,5,590892,1,7
"fpop",fpop,variance,,100,10,9.21034037197618,1e-09,10,0.01,5,9246115,1,NA
"dust",dust,variance,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,5,565144,1,7
"fpop",fpop,variance,,100,20,9.21034037197618,1e-09,10,0.01,5,2999642,1,NA
"dust",dust,variance,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,5,1038612,1,7
"fpop",fpop,variance,,100,30,9.21034037197618,1e-09,10,0.01,5,8270192,1,NA
"dust",dust,variance,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,5,1437419,1,7
"fpop",fpop,variance,,100,40,9.21034037197618,1e-09,10,0.01,5,4282368,1,NA
"dust",dust,variance,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,5,455961,2,10
"fpop",fpop,variance,,100,50,9.21034037197618,1e-09,10,0.01,5,5941023,2,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,5,1148000,1,5
"fpop",fpop,variance,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,5,5470384,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,5,12482081,1,7
"fpop",fpop,variance,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,5,14084525,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,20,10.8197782844103,1e-09,10,0.01,5,533861,1,8
"fpop",fpop,variance,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,5,8684825,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,5,533369,1,9
"fpop",fpop,variance,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,5,5462102,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,5,523570,1,9
"fpop",fpop,variance,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,5,12192375,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,5,3903815,1,13
"fpop",fpop,variance,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,5,3264256,2,NA
"dust",dust,variance,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,5,749603,1,7
"fpop",fpop,variance,,500,0,12.4292161968444,1e-09,10,0.01,5,4687407,1,NA
"dust",dust,variance,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,5,1404988,1,9
"fpop",fpop,variance,,500,10,12.4292161968444,1e-09,10,0.01,5,13197162,1,NA
"dust",dust,variance,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,5,1378748,1,6
"fpop",fpop,variance,,500,20,12.4292161968444,1e-09,10,0.01,5,4510533,1,NA
"dust",dust,variance,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,5,665471,1,13
"fpop",fpop,variance,,500,30,12.4292161968444,1e-09,10,0.01,5,11059750,1,NA
"dust",dust,variance,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,5,723527,1,11
"fpop",fpop,variance,,500,40,12.4292161968444,1e-09,10,0.01,5,22565867,1,NA
"dust",dust,variance,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,5,737549,2,15
"fpop",fpop,variance,,500,50,12.4292161968444,1e-09,10,0.01,5,4282286,2,NA
"dust",dust,variance,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,6,1109501,1,6
"fpop",fpop,variance,,100,0,9.21034037197618,1e-09,10,0.01,6,4918770,1,NA
"dust",dust,variance,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,6,494952,2,9
"fpop",fpop,variance,,100,10,9.21034037197618,1e-09,10,0.01,6,6655612,2,NA
"dust",dust,variance,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,6,567891,1,9
"fpop",fpop,variance,,100,20,9.21034037197618,1e-09,10,0.01,6,3217065,1,NA
"dust",dust,variance,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,6,514263,4,8
"fpop",fpop,variance,,100,30,9.21034037197618,1e-09,10,0.01,6,5709578,4,NA
"dust",dust,variance,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,6,1263292,3,10
"fpop",fpop,variance,,100,40,9.21034037197618,1e-09,10,0.01,6,4960139,3,NA
"dust",dust,variance,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,6,397167,2,6
"fpop",fpop,variance,,100,50,9.21034037197618,1e-09,10,0.01,6,2835273,2,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,6,919220,1,3
"fpop",fpop,variance,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,6,16321116,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,6,1088181,1,3
"fpop",fpop,variance,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,6,18248731,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,20,10.8197782844103,1e-09,10,0.01,6,589211,1,11
"fpop",fpop,variance,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,6,14562544,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,6,1135372,1,9
"fpop",fpop,variance,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,6,3279959,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,6,599297,1,7
"fpop",fpop,variance,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,6,3422475,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,6,494091,1,12
"fpop",fpop,variance,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,6,3450273,1,NA
"dust",dust,variance,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,6,1474565,1,6
"fpop",fpop,variance,,500,0,12.4292161968444,1e-09,10,0.01,6,21890146,1,NA
"dust",dust,variance,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,6,1395517,1,11
"fpop",fpop,variance,,500,10,12.4292161968444,1e-09,10,0.01,6,6340404,1,NA
"dust",dust,variance,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,6,631892,1,10
"fpop",fpop,variance,,500,20,12.4292161968444,1e-09,10,0.01,6,11194435,1,NA
"dust",dust,variance,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,6,9956481,1,9
"fpop",fpop,variance,,500,30,12.4292161968444,1e-09,10,0.01,6,9404662,1,NA
"dust",dust,variance,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,6,701469,1,10
"fpop",fpop,variance,,500,40,12.4292161968444,1e-09,10,0.01,6,4481628,1,NA
"dust",dust,variance,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,6,716311,1,11
"fpop",fpop,variance,,500,50,12.4292161968444,1e-09,10,0.01,6,4675722,1,NA
"dust",dust,variance,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,7,1078218,1,6
"fpop",fpop,variance,,100,0,9.21034037197618,1e-09,10,0.01,7,6880661,1,NA
"dust",dust,variance,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,7,947551,1,4
"fpop",fpop,variance,,100,10,9.21034037197618,1e-09,10,0.01,7,9313232,1,NA
"dust",dust,variance,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,7,856982,1,4
"fpop",fpop,variance,,100,20,9.21034037197618,1e-09,10,0.01,7,40545843,1,NA
"dust",dust,variance,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,7,632671,2,8
"fpop",fpop,variance,,100,30,9.21034037197618,1e-09,10,0.01,7,2869795,1,NA
"dust",dust,variance,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,7,531196,2,9
"fpop",fpop,variance,,100,40,9.21034037197618,1e-09,10,0.01,7,2984800,2,NA
"dust",dust,variance,detIndex_Eval4,100,50,9.21034037197618,1e-09,10,0.01,7,2678325,1,6
"fpop",fpop,variance,,100,50,9.21034037197618,1e-09,10,0.01,7,5361611,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,0,10.8197782844103,1e-09,10,0.01,7,1402446,1,7
"fpop",fpop,variance,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,7,8014516,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,10,10.8197782844103,1e-09,10,0.01,7,604914,1,4
"fpop",fpop,variance,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,7,2901160,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,20,10.8197782844103,1e-09,10,0.01,7,574861,1,8
"fpop",fpop,variance,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,7,5426842,1,NA
