"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,negbin,detIndex_Eval4,500,50,1.24292161968444,1e-09,10,0.01,3,789578,11,5
"fpop",fpop,negbin,,500,50,1.24292161968444,1e-09,10,0.01,3,9901910,10,NA
"dust",dust,negbin,detIndex_Eval4,100,0,0.921034037197618,1e-09,10,0.01,4,1541887,1,5
"fpop",fpop,negbin,,100,0,0.921034037197618,1e-09,10,0.01,4,9565218,1,NA
"dust",dust,negbin,detIndex_Eval4,100,10,0.921034037197618,1e-09,10,0.01,4,466826,6,4
"fpop",fpop,negbin,,100,10,0.921034037197618,1e-09,10,0.01,4,4176301,1,NA
"dust",dust,negbin,detIndex_Eval4,100,20,0.921034037197618,1e-09,10,0.01,4,4945953,6,4
"fpop",fpop,negbin,,100,20,0.921034037197618,1e-09,10,0.01,4,13424794,1,NA
"dust",dust,negbin,detIndex_Eval4,100,30,0.921034037197618,1e-09,10,0.01,4,436035,4,5
"fpop",fpop,negbin,,100,30,0.921034037197618,1e-09,10,0.01,4,5616180,1,NA
"dust",dust,negbin,detIndex_Eval4,100,40,0.921034037197618,1e-09,10,0.01,4,4436446,5,7
"fpop",fpop,negbin,,100,40,0.921034037197618,1e-09,10,0.01,4,2962332,3,NA
"dust",dust,negbin,detIndex_Eval4,100,50,0.921034037197618,1e-09,10,0.01,4,1196216,5,8
"fpop",fpop,negbin,,100,50,0.921034037197618,1e-09,10,0.01,4,7904964,2,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,0,1.08197782844103,1e-09,10,0.01,4,580560,1,7
"fpop",fpop,negbin,,223.606797749979,0,1.08197782844103,1e-09,10,0.01,4,3291849,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,10,1.08197782844103,1e-09,10,0.01,4,754769,12,6
"fpop",fpop,negbin,,223.606797749979,10,1.08197782844103,1e-09,10,0.01,4,4221237,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,20,1.08197782844103,1e-09,10,0.01,4,516395,13,3
"fpop",fpop,negbin,,223.606797749979,20,1.08197782844103,1e-09,10,0.01,4,9588957,3,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,30,1.08197782844103,1e-09,10,0.01,4,480643,12,4
"fpop",fpop,negbin,,223.606797749979,30,1.08197782844103,1e-09,10,0.01,4,13068217,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,40,1.08197782844103,1e-09,10,0.01,4,1922121,7,4
"fpop",fpop,negbin,,223.606797749979,40,1.08197782844103,1e-09,10,0.01,4,6864179,4,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,50,1.08197782844103,1e-09,10,0.01,4,1974355,6,4
"fpop",fpop,negbin,,223.606797749979,50,1.08197782844103,1e-09,10,0.01,4,4590196,5,NA
"dust",dust,negbin,detIndex_Eval4,500,0,1.24292161968444,1e-09,10,0.01,4,698189,1,7
"fpop",fpop,negbin,,500,0,1.24292161968444,1e-09,10,0.01,4,4424351,1,NA
"dust",dust,negbin,detIndex_Eval4,500,10,1.24292161968444,1e-09,10,0.01,4,582528,23,10
"fpop",fpop,negbin,,500,10,1.24292161968444,1e-09,10,0.01,4,7857691,1,NA
