"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"fpop",fpop,gauss,,100,10,9.21034037197618,1e-09,10,0.01,3,288927,1,NA
"dust",dust,gauss,detIndex_Eval1,100,20,9.21034037197618,1e-09,10,0.01,3,891955,1,7
"fpop",fpop,gauss,,100,20,9.21034037197618,1e-09,10,0.01,3,286836,1,NA
"dust",dust,gauss,detIndex_Eval1,100,30,9.21034037197618,1e-09,10,0.01,3,484087,1,9
"fpop",fpop,gauss,,100,30,9.21034037197618,1e-09,10,0.01,3,172241,1,NA
"dust",dust,gauss,detIndex_Eval1,100,40,9.21034037197618,1e-09,10,0.01,3,522668,1,9
"fpop",fpop,gauss,,100,40,9.21034037197618,1e-09,10,0.01,3,265516,1,NA
"dust",dust,gauss,detIndex_Eval1,100,50,9.21034037197618,1e-09,10,0.01,3,497289,2,6
"fpop",fpop,gauss,,100,50,9.21034037197618,1e-09,10,0.01,3,265065,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,0,10.8197782844103,1e-09,10,0.01,3,1253821,1,5
"fpop",fpop,gauss,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,3,168797,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,10,10.8197782844103,1e-09,10,0.01,3,488720,1,4
"fpop",fpop,gauss,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,3,190199,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,20,10.8197782844103,1e-09,10,0.01,3,4960795,1,10
"fpop",fpop,gauss,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,3,181753,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,30,10.8197782844103,1e-09,10,0.01,3,1058784,1,10
"fpop",fpop,gauss,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,3,167608,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,40,10.8197782844103,1e-09,10,0.01,3,1092609,1,10
"fpop",fpop,gauss,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,3,171585,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,50,10.8197782844103,1e-09,10,0.01,3,1557303,2,13
"fpop",fpop,gauss,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,3,2096699,1,NA
"dust",dust,gauss,detIndex_Eval1,500,0,12.4292161968444,1e-09,10,0.01,3,451902,1,7
"fpop",fpop,gauss,,500,0,12.4292161968444,1e-09,10,0.01,3,336159,1,NA
"dust",dust,gauss,detIndex_Eval1,500,10,12.4292161968444,1e-09,10,0.01,3,524513,1,8
"fpop",fpop,gauss,,500,10,12.4292161968444,1e-09,10,0.01,3,284130,1,NA
"dust",dust,gauss,detIndex_Eval1,500,20,12.4292161968444,1e-09,10,0.01,3,3121330,1,4
"fpop",fpop,gauss,,500,20,12.4292161968444,1e-09,10,0.01,3,251330,1,NA
"dust",dust,gauss,detIndex_Eval1,500,30,12.4292161968444,1e-09,10,0.01,3,2456884,1,8
"fpop",fpop,gauss,,500,30,12.4292161968444,1e-09,10,0.01,3,287082,1,NA
"dust",dust,gauss,detIndex_Eval1,500,40,12.4292161968444,1e-09,10,0.01,3,583143,1,9
"fpop",fpop,gauss,,500,40,12.4292161968444,1e-09,10,0.01,3,209305,1,NA
"dust",dust,gauss,detIndex_Eval1,500,50,12.4292161968444,1e-09,10,0.01,3,2106498,1,10
"fpop",fpop,gauss,,500,50,12.4292161968444,1e-09,10,0.01,3,183844,1,NA
"dust",dust,gauss,detIndex_Eval1,100,0,9.21034037197618,1e-09,10,0.01,4,3184019,1,8
"fpop",fpop,gauss,,100,0,9.21034037197618,1e-09,10,0.01,4,289091,1,NA
"dust",dust,gauss,detIndex_Eval1,100,10,9.21034037197618,1e-09,10,0.01,4,1177315,1,6
"fpop",fpop,gauss,,100,10,9.21034037197618,1e-09,10,0.01,4,78802,1,NA
"dust",dust,gauss,detIndex_Eval1,100,20,9.21034037197618,1e-09,10,0.01,4,506924,1,4
"fpop",fpop,gauss,,100,20,9.21034037197618,1e-09,10,0.01,4,127018,1,NA
"dust",dust,gauss,detIndex_Eval1,100,30,9.21034037197618,1e-09,10,0.01,4,512459,1,10
"fpop",fpop,gauss,,100,30,9.21034037197618,1e-09,10,0.01,4,121278,1,NA
"dust",dust,gauss,detIndex_Eval1,100,40,9.21034037197618,1e-09,10,0.01,4,774818,2,9
"fpop",fpop,gauss,,100,40,9.21034037197618,1e-09,10,0.01,4,181876,1,NA
"dust",dust,gauss,detIndex_Eval1,100,50,9.21034037197618,1e-09,10,0.01,4,2041062,2,4
"fpop",fpop,gauss,,100,50,9.21034037197618,1e-09,10,0.01,4,527137,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,0,10.8197782844103,1e-09,10,0.01,4,555550,1,3
"fpop",fpop,gauss,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,4,445137,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,10,10.8197782844103,1e-09,10,0.01,4,1015775,1,7
"fpop",fpop,gauss,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,4,223532,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,20,10.8197782844103,1e-09,10,0.01,4,443415,1,13
"fpop",fpop,gauss,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,4,839352,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,30,10.8197782844103,1e-09,10,0.01,4,542676,1,12
"fpop",fpop,gauss,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,4,173922,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,40,10.8197782844103,1e-09,10,0.01,4,565677,1,10
"fpop",fpop,gauss,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,4,461824,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,50,10.8197782844103,1e-09,10,0.01,4,513156,3,8
"fpop",fpop,gauss,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,4,383842,1,NA
"dust",dust,gauss,detIndex_Eval1,500,0,12.4292161968444,1e-09,10,0.01,4,531155,1,4
"fpop",fpop,gauss,,500,0,12.4292161968444,1e-09,10,0.01,4,477527,1,NA
"dust",dust,gauss,detIndex_Eval1,500,10,12.4292161968444,1e-09,10,0.01,4,1211099,1,11
"fpop",fpop,gauss,,500,10,12.4292161968444,1e-09,10,0.01,4,267730,1,NA
"dust",dust,gauss,detIndex_Eval1,500,20,12.4292161968444,1e-09,10,0.01,4,526440,1,5
"fpop",fpop,gauss,,500,20,12.4292161968444,1e-09,10,0.01,4,249485,1,NA
"dust",dust,gauss,detIndex_Eval1,500,30,12.4292161968444,1e-09,10,0.01,4,1352344,1,7
"fpop",fpop,gauss,,500,30,12.4292161968444,1e-09,10,0.01,4,782649,1,NA
"dust",dust,gauss,detIndex_Eval1,500,40,12.4292161968444,1e-09,10,0.01,4,570351,1,13
"fpop",fpop,gauss,,500,40,12.4292161968444,1e-09,10,0.01,4,252150,1,NA
"dust",dust,gauss,detIndex_Eval1,500,50,12.4292161968444,1e-09,10,0.01,4,834391,1,9
"fpop",fpop,gauss,,500,50,12.4292161968444,1e-09,10,0.01,4,224475,1,NA
"dust",dust,gauss,detIndex_Eval1,100,0,9.21034037197618,1e-09,10,0.01,5,957637,1,5
"fpop",fpop,gauss,,100,0,9.21034037197618,1e-09,10,0.01,5,241900,1,NA
"dust",dust,gauss,detIndex_Eval1,100,10,9.21034037197618,1e-09,10,0.01,5,538986,1,3
"fpop",fpop,gauss,,100,10,9.21034037197618,1e-09,10,0.01,5,164656,1,NA
"dust",dust,gauss,detIndex_Eval1,100,20,9.21034037197618,1e-09,10,0.01,5,439848,1,6
"fpop",fpop,gauss,,100,20,9.21034037197618,1e-09,10,0.01,5,111233,1,NA
"dust",dust,gauss,detIndex_Eval1,100,30,9.21034037197618,1e-09,10,0.01,5,3073155,1,12
"fpop",fpop,gauss,,100,30,9.21034037197618,1e-09,10,0.01,5,130052,1,NA
"dust",dust,gauss,detIndex_Eval1,100,40,9.21034037197618,1e-09,10,0.01,5,1459928,1,13
"fpop",fpop,gauss,,100,40,9.21034037197618,1e-09,10,0.01,5,465309,1,NA
"dust",dust,gauss,detIndex_Eval1,100,50,9.21034037197618,1e-09,10,0.01,5,485522,2,9
"fpop",fpop,gauss,,100,50,9.21034037197618,1e-09,10,0.01,5,144689,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,0,10.8197782844103,1e-09,10,0.01,5,2844867,1,8
"fpop",fpop,gauss,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,5,178842,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,10,10.8197782844103,1e-09,10,0.01,5,498478,1,5
"fpop",fpop,gauss,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,5,235586,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,20,10.8197782844103,1e-09,10,0.01,5,477240,1,5
"fpop",fpop,gauss,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,5,421480,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,30,10.8197782844103,1e-09,10,0.01,5,1225736,1,9
"fpop",fpop,gauss,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,5,452927,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,40,10.8197782844103,1e-09,10,0.01,5,469163,3,8
"fpop",fpop,gauss,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,5,609793,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,50,10.8197782844103,1e-09,10,0.01,5,448130,1,11
"fpop",fpop,gauss,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,5,1245457,1,NA
"dust",dust,gauss,detIndex_Eval1,500,0,12.4292161968444,1e-09,10,0.01,5,5673662,1,6
"fpop",fpop,gauss,,500,0,12.4292161968444,1e-09,10,0.01,5,573139,1,NA
"dust",dust,gauss,detIndex_Eval1,500,10,12.4292161968444,1e-09,10,0.01,5,1326596,1,5
"fpop",fpop,gauss,,500,10,12.4292161968444,1e-09,10,0.01,5,562438,1,NA
"dust",dust,gauss,detIndex_Eval1,500,20,12.4292161968444,1e-09,10,0.01,5,1283218,1,13
"fpop",fpop,gauss,,500,20,12.4292161968444,1e-09,10,0.01,5,262236,1,NA
"dust",dust,gauss,detIndex_Eval1,500,30,12.4292161968444,1e-09,10,0.01,5,3535020,1,7
"fpop",fpop,gauss,,500,30,12.4292161968444,1e-09,10,0.01,5,321440,1,NA
"dust",dust,gauss,detIndex_Eval1,500,40,12.4292161968444,1e-09,10,0.01,5,574779,1,12
"fpop",fpop,gauss,,500,40,12.4292161968444,1e-09,10,0.01,5,229600,1,NA
"dust",dust,gauss,detIndex_Eval1,500,50,12.4292161968444,1e-09,10,0.01,5,536444,1,4
"fpop",fpop,gauss,,500,50,12.4292161968444,1e-09,10,0.01,5,231445,1,NA
"dust",dust,gauss,detIndex_Eval1,100,0,9.21034037197618,1e-09,10,0.01,6,4115252,1,5
"fpop",fpop,gauss,,100,0,9.21034037197618,1e-09,10,0.01,6,399545,1,NA
"dust",dust,gauss,detIndex_Eval1,100,10,9.21034037197618,1e-09,10,0.01,6,394174,1,5
"fpop",fpop,gauss,,100,10,9.21034037197618,1e-09,10,0.01,6,121278,1,NA
"dust",dust,gauss,detIndex_Eval1,100,20,9.21034037197618,1e-09,10,0.01,6,534681,1,7
"fpop",fpop,gauss,,100,20,9.21034037197618,1e-09,10,0.01,6,193397,1,NA
"dust",dust,gauss,detIndex_Eval1,100,30,9.21034037197618,1e-09,10,0.01,6,411804,1,10
"fpop",fpop,gauss,,100,30,9.21034037197618,1e-09,10,0.01,6,287943,1,NA
"dust",dust,gauss,detIndex_Eval1,100,40,9.21034037197618,1e-09,10,0.01,6,1280799,1,10
"fpop",fpop,gauss,,100,40,9.21034037197618,1e-09,10,0.01,6,714671,1,NA
"dust",dust,gauss,detIndex_Eval1,100,50,9.21034037197618,1e-09,10,0.01,6,418200,2,7
"fpop",fpop,gauss,,100,50,9.21034037197618,1e-09,10,0.01,6,275520,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,0,10.8197782844103,1e-09,10,0.01,6,1694325,1,6
"fpop",fpop,gauss,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,6,163016,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,10,10.8197782844103,1e-09,10,0.01,6,498478,1,8
"fpop",fpop,gauss,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,6,157809,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,20,10.8197782844103,1e-09,10,0.01,6,1066205,1,10
"fpop",fpop,gauss,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,6,159982,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,30,10.8197782844103,1e-09,10,0.01,6,1473540,1,10
"fpop",fpop,gauss,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,6,174373,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,40,10.8197782844103,1e-09,10,0.01,6,14062672,2,13
"fpop",fpop,gauss,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,6,324761,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,50,10.8197782844103,1e-09,10,0.01,6,518445,2,16
"fpop",fpop,gauss,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,6,7504230,1,NA
"dust",dust,gauss,detIndex_Eval1,500,0,12.4292161968444,1e-09,10,0.01,6,505735,1,4
"fpop",fpop,gauss,,500,0,12.4292161968444,1e-09,10,0.01,6,219678,1,NA
"dust",dust,gauss,detIndex_Eval1,500,10,12.4292161968444,1e-09,10,0.01,6,969814,1,5
"fpop",fpop,gauss,,500,10,12.4292161968444,1e-09,10,0.01,6,255963,1,NA
"dust",dust,gauss,detIndex_Eval1,500,20,12.4292161968444,1e-09,10,0.01,6,1448079,1,8
"fpop",fpop,gauss,,500,20,12.4292161968444,1e-09,10,0.01,6,461947,1,NA
"dust",dust,gauss,detIndex_Eval1,500,30,12.4292161968444,1e-09,10,0.01,6,1187565,3,8
"fpop",fpop,gauss,,500,30,12.4292161968444,1e-09,10,0.01,6,255594,1,NA
"dust",dust,gauss,detIndex_Eval1,500,40,12.4292161968444,1e-09,10,0.01,6,526071,1,5
"fpop",fpop,gauss,,500,40,12.4292161968444,1e-09,10,0.01,6,226853,1,NA
"dust",dust,gauss,detIndex_Eval1,500,50,12.4292161968444,1e-09,10,0.01,6,1156077,1,11
"fpop",fpop,gauss,,500,50,12.4292161968444,1e-09,10,0.01,6,264655,1,NA
"dust",dust,gauss,detIndex_Eval1,100,0,9.21034037197618,1e-09,10,0.01,7,1542502,1,8
"fpop",fpop,gauss,,100,0,9.21034037197618,1e-09,10,0.01,7,220498,1,NA
"dust",dust,gauss,detIndex_Eval1,100,10,9.21034037197618,1e-09,10,0.01,7,455305,1,10
"fpop",fpop,gauss,,100,10,9.21034037197618,1e-09,10,0.01,7,207091,1,NA
"dust",dust,gauss,detIndex_Eval1,100,20,9.21034037197618,1e-09,10,0.01,7,1000400,1,6
"fpop",fpop,gauss,,100,20,9.21034037197618,1e-09,10,0.01,7,160146,1,NA
"dust",dust,gauss,detIndex_Eval1,100,30,9.21034037197618,1e-09,10,0.01,7,448007,1,6
"fpop",fpop,gauss,,100,30,9.21034037197618,1e-09,10,0.01,7,122795,1,NA
"dust",dust,gauss,detIndex_Eval1,100,40,9.21034037197618,1e-09,10,0.01,7,995726,3,5
"fpop",fpop,gauss,,100,40,9.21034037197618,1e-09,10,0.01,7,102787,1,NA
"dust",dust,gauss,detIndex_Eval1,100,50,9.21034037197618,1e-09,10,0.01,7,398233,2,10
"fpop",fpop,gauss,,100,50,9.21034037197618,1e-09,10,0.01,7,93152,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,0,10.8197782844103,1e-09,10,0.01,7,821968,1,3
"fpop",fpop,gauss,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,7,172241,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,10,10.8197782844103,1e-09,10,0.01,7,1058415,1,10
"fpop",fpop,gauss,,223.606797749979,10,10.8197782844103,1e-09,10,0.01,7,164902,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,20,10.8197782844103,1e-09,10,0.01,7,711432,1,9
"fpop",fpop,gauss,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,7,192905,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,30,10.8197782844103,1e-09,10,0.01,7,482406,1,8
"fpop",fpop,gauss,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,7,211642,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,40,10.8197782844103,1e-09,10,0.01,7,487613,1,6
"fpop",fpop,gauss,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,7,380685,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,50,10.8197782844103,1e-09,10,0.01,7,1085885,3,12
"fpop",fpop,gauss,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,7,185402,1,NA
"dust",dust,gauss,detIndex_Eval1,500,0,12.4292161968444,1e-09,10,0.01,7,1397977,1,5
"fpop",fpop,gauss,,500,0,12.4292161968444,1e-09,10,0.01,7,623938,1,NA
"dust",dust,gauss,detIndex_Eval1,500,10,12.4292161968444,1e-09,10,0.01,7,611761,1,8
"fpop",fpop,gauss,,500,10,12.4292161968444,1e-09,10,0.01,7,251084,1,NA
"dust",dust,gauss,detIndex_Eval1,500,20,12.4292161968444,1e-09,10,0.01,7,1379650,1,10
"fpop",fpop,gauss,,500,20,12.4292161968444,1e-09,10,0.01,7,591384,1,NA
"dust",dust,gauss,detIndex_Eval1,500,30,12.4292161968444,1e-09,10,0.01,7,507990,1,10
"fpop",fpop,gauss,,500,30,12.4292161968444,1e-09,10,0.01,7,530089,1,NA
"dust",dust,gauss,detIndex_Eval1,500,40,12.4292161968444,1e-09,10,0.01,7,569572,1,18
"fpop",fpop,gauss,,500,40,12.4292161968444,1e-09,10,0.01,7,713236,1,NA
"dust",dust,gauss,detIndex_Eval1,500,50,12.4292161968444,1e-09,10,0.01,7,468794,2,18
"fpop",fpop,gauss,,500,50,12.4292161968444,1e-09,10,0.01,7,232019,1,NA
"dust",dust,gauss,detIndex_Eval1,100,0,9.21034037197618,1e-09,10,0.01,8,3648959,1,6
"fpop",fpop,gauss,,100,0,9.21034037197618,1e-09,10,0.01,8,227714,1,NA
"dust",dust,gauss,detIndex_Eval1,100,10,9.21034037197618,1e-09,10,0.01,8,438946,1,4
"fpop",fpop,gauss,,100,10,9.21034037197618,1e-09,10,0.01,8,574287,1,NA
"dust",dust,gauss,detIndex_Eval1,100,20,9.21034037197618,1e-09,10,0.01,8,466334,1,7
"fpop",fpop,gauss,,100,20,9.21034037197618,1e-09,10,0.01,8,110454,1,NA
"dust",dust,gauss,detIndex_Eval1,100,30,9.21034037197618,1e-09,10,0.01,8,424022,1,5
"fpop",fpop,gauss,,100,30,9.21034037197618,1e-09,10,0.01,8,120786,1,NA
"dust",dust,gauss,detIndex_Eval1,100,40,9.21034037197618,1e-09,10,0.01,8,509876,1,6
"fpop",fpop,gauss,,100,40,9.21034037197618,1e-09,10,0.01,8,136940,1,NA
"dust",dust,gauss,detIndex_Eval1,100,50,9.21034037197618,1e-09,10,0.01,8,489212,2,6
"fpop",fpop,gauss,,100,50,9.21034037197618,1e-09,10,0.01,8,211232,1,NA
"dust",dust,gauss,detIndex_Eval1,223.606797749979,0,10.8197782844103,1e-09,10,0.01,8,1289163,1,5
"fpop",fpop,gauss,,223.606797749979,0,10.8197782844103,1e-09,10,0.01,8,222507,1,NA
